momento_aparicion,Tiempo_transcurrido
543,55.229797
539,79.00885
547,93.117004
532,127.10852
542,130.64813
558,37.121582
550,58.477295
543,84.34534
541,103.02124
548,106.3089
561,31.859253
555,52.580017
555,63.49652
613,55.26361
609,78.566345
576,134.09589
622,98.39862
605,143.5495
598,161.31207
596,176.42548
680,25.363586
570,140.29614
617,104.416565
670,74.4397
670,82.509094
591,188.33313
644,153.42035
675,34.92798
577,156.00311
667,72.30194
564,186.24316
665,93.324646
675,99.40668
683,106.549255
693,132.82074
761,73.584656
760,91.32849
733,126.18768
714,152.20709
687,190.46405
779,120.90167
723,184.7367
773,162.47357
766,192.1466
741,106.21942
793,62.032166
723,145.18005
786,87.28601
732,161.26697
809,93.287476
745,187.3302
682,172.61194
789,73.004395
677,194.9477
779,109.13696
780,111.5589
724,176.97833
801,111.911865
736,185.49481
787,145.90991
810,134.23932
799,172.53204
857,101.705505
826,140.37201
859,115.13452
888,111.04303
853,143.20795
